,id,account,total_appraised_value_2019,pct_value_change,latitude,longitude,acreage,zip_code,neighborhood_code,sq_ft,neighborhood,new_owner_date,Offense_Count,school_id,school_type,school_rating,flood_risk,sales_neighborhood_2019
30,15541,1215300010010,280000.0,0.0,29.745079999999998,-95.36837,0.0396,77002,8400.07,2151.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2013-10-17,4743,101912467,Middle,85,1,6
31,15542,1215300010011,316700.0,-1.145241892942201,29.74502,-95.36825999999999,0.0613,77002,8400.07,2151.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2019-05-14,4743,101912467,Middle,85,1,6
32,15543,1215300010012,308000.0,0.0,29.74489,-95.36833,0.0407,77002,8400.07,2151.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2016-04-14,4743,101912467,Middle,85,1,6
33,15544,1215300010013,303029.0,0.0,29.744940000000003,-95.36842,0.0357,77002,8400.07,2151.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2002-01-01,4743,101912467,Middle,85,1,6
34,15545,1215300010014,306000.0,-7.2727272727272725,29.74499,-95.36851,0.0343,77002,8400.07,2151.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2016-08-25,4743,101912467,Middle,85,1,6
35,15546,1215300010015,326185.0,0.0,29.74505,-95.36856,0.0364,77002,8400.07,2438.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2018-07-12,4743,101912467,Middle,85,1,6
36,15547,1215300010016,284000.0,-19.087858050473223,29.74512,-95.36876,0.038,77002,8400.07,2102.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2018-10-17,4743,101912467,Middle,85,1,6
37,15548,1215300010017,354999.0,0.0,29.74519,-95.36888,0.0427,77002,8400.07,2102.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2015-07-07,4743,101912467,Middle,85,1,6
38,1,21750000003,299000.0,0.0,29.746140000000004,-95.36986999999999,0.0405,77002,8400.07,1944.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2009-10-13,4743,101912025,High,95,1,6
39,3,21750000018,296400.0,0.0,29.746190000000002,-95.36995999999999,0.0348,77002,8400.07,1944.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2018-06-29,4743,101912025,High,95,1,6
40,4,21750000019,299803.0,0.0,29.746240000000004,-95.37004,0.0395,77002,8400.07,1944.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2001-01-01,4743,101912025,High,95,1,6
41,15532,1215300010001,331080.0,0.0,29.7453,-95.36882,0.0413,77002,8400.07,1924.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2017-06-28,4743,101912025,High,95,1,6
42,15533,1215300010002,287800.0,-14.717081771442965,29.74525,-95.36874,0.0352,77002,8400.07,1965.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2016-05-23,4743,101912025,High,95,1,6
43,15534,1215300010003,299000.0,0.0,29.7452,-95.36861999999999,0.048,77002,8400.07,1965.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2013-09-09,4743,101912025,High,95,1,6
44,15535,1215300010004,394554.0,0.0,29.745079999999998,-95.36864,0.0397,77002,8400.07,2541.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2003-08-15,4743,101912025,High,95,1,6
45,15536,1215300010005,350273.0,0.0,29.745240000000003,-95.36842,0.0356,77002,8400.07,2149.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2005-05-14,4743,101912025,High,95,1,6
46,15537,1215300010006,351153.0,0.4789987381216039,29.74522,-95.36832,0.0329,77002,8400.07,2151.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2018-04-26,4743,101912025,High,95,1,6
47,15538,1215300010007,345000.0,0.0,29.74517,-95.36824,0.0398,77002,8400.07,2151.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2013-09-30,4743,101912025,High,95,1,6
48,15539,1215300010008,333000.0,0.0,29.74512,-95.36815,0.0349,77002,8400.07,2151.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2016-05-25,4743,101912025,High,95,1,6
49,15540,1215300010009,356327.0,0.0,29.74512,-95.36845,0.0382,77002,8400.07,2151.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2019-03-08,4743,101912025,High,95,1,6
50,15541,1215300010010,280000.0,0.0,29.745079999999998,-95.36837,0.0396,77002,8400.07,2151.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2013-10-17,4743,101912025,High,95,1,6
51,15542,1215300010011,316700.0,-1.145241892942201,29.74502,-95.36825999999999,0.0613,77002,8400.07,2151.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2019-05-14,4743,101912025,High,95,1,6
52,15543,1215300010012,308000.0,0.0,29.74489,-95.36833,0.0407,77002,8400.07,2151.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2016-04-14,4743,101912025,High,95,1,6
53,15544,1215300010013,303029.0,0.0,29.744940000000003,-95.36842,0.0357,77002,8400.07,2151.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2002-01-01,4743,101912025,High,95,1,6
54,15545,1215300010014,306000.0,-7.2727272727272725,29.74499,-95.36851,0.0343,77002,8400.07,2151.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2016-08-25,4743,101912025,High,95,1,6
55,15546,1215300010015,326185.0,0.0,29.74505,-95.36856,0.0364,77002,8400.07,2438.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2018-07-12,4743,101912025,High,95,1,6
56,15547,1215300010016,284000.0,-19.087858050473223,29.74512,-95.36876,0.038,77002,8400.07,2102.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2018-10-17,4743,101912025,High,95,1,6
57,15548,1215300010017,354999.0,0.0,29.74519,-95.36888,0.0427,77002,8400.07,2102.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2015-07-07,4743,101912025,High,95,1,6
58,4,21750000019,299803.0,0.0,29.746240000000004,-95.37004,0.0395,77002,8400.07,1944.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2001-01-01,4743,101912058,Elementary,65,1,6
59,4,21750000019,299803.0,0.0,29.746240000000004,-95.37004,0.0395,77002,8400.07,1944.0,BALDWIN SQ/TUAM SQ/MCGREGOR,2001-01-01,4743,101912463,Middle,95,1,6
60,15979,1223750010001,397592.0,0.0,29.745540000000002,-95.36863000000001,0.0476,77002,8400.09,2318.0,"CITY SCENE,JACKSON,DREW ST T/H,HAMILTON CT",2013-06-05,4743,101912110,Elementary,75,1,0
61,15980,1223750010002,345000.0,0.0,29.74563,-95.36856,0.0448,77002,8400.09,2280.0,"CITY SCENE,JACKSON,DREW ST T/H,HAMILTON CT",2016-03-14,4743,101912110,Elementary,75,1,0
62,15981,1223750010003,354820.0,0.0,29.74565,-95.36847,0.0448,77002,8400.09,2318.0,"CITY SCENE,JACKSON,DREW ST T/H,HAMILTON CT",2015-12-09,4743,101912110,Elementary,75,1,0
63,15982,1223750010004,345411.0,0.0,29.74558,-95.36836,0.0476,77002,8400.09,2416.0,"CITY SCENE,JACKSON,DREW ST T/H,HAMILTON CT",2016-06-08,4743,101912110,Elementary,75,1,0
64,15983,1223750010005,325000.0,0.0,29.745490000000004,-95.36835,0.042,77002,8400.09,2318.0,"CITY SCENE,JACKSON,DREW ST T/H,HAMILTON CT",2015-06-05,4743,101912110,Elementary,75,1,0
65,15984,1223750010006,312500.0,0.0,29.745409999999996,-95.36841,0.0448,77002,8400.09,2418.0,"CITY SCENE,JACKSON,DREW ST T/H,HAMILTON CT",2017-09-28,4743,101912110,Elementary,75,1,0
66,15985,1223750010007,305000.0,0.0,29.7454,-95.36851,0.0448,77002,8400.09,2318.0,"CITY SCENE,JACKSON,DREW ST T/H,HAMILTON CT",2007-09-14,4743,101912110,Elementary,75,1,0
67,15986,1223750010008,327238.0,0.0,29.74545,-95.36861,0.042,77002,8400.09,2418.0,"CITY SCENE,JACKSON,DREW ST T/H,HAMILTON CT",2005-03-23,4743,101912110,Elementary,75,1,0
68,15979,1223750010001,397592.0,0.0,29.745540000000002,-95.36863000000001,0.0476,77002,8400.09,2318.0,"CITY SCENE,JACKSON,DREW ST T/H,HAMILTON CT",2013-06-05,4743,101912467,Middle,85,1,0
69,15980,1223750010002,345000.0,0.0,29.74563,-95.36856,0.0448,77002,8400.09,2280.0,"CITY SCENE,JACKSON,DREW ST T/H,HAMILTON CT",2016-03-14,4743,101912467,Middle,85,1,0
70,15981,1223750010003,354820.0,0.0,29.74565,-95.36847,0.0448,77002,8400.09,2318.0,"CITY SCENE,JACKSON,DREW ST T/H,HAMILTON CT",2015-12-09,4743,101912467,Middle,85,1,0
71,15982,1223750010004,345411.0,0.0,29.74558,-95.36836,0.0476,77002,8400.09,2416.0,"CITY SCENE,JACKSON,DREW ST T/H,HAMILTON CT",2016-06-08,4743,101912467,Middle,85,1,0
72,15983,1223750010005,325000.0,0.0,29.745490000000004,-95.36835,0.042,77002,8400.09,2318.0,"CITY SCENE,JACKSON,DREW ST T/H,HAMILTON CT",2015-06-05,4743,101912467,Middle,85,1,0
73,15984,1223750010006,312500.0,0.0,29.745409999999996,-95.36841,0.0448,77002,8400.09,2418.0,"CITY SCENE,JACKSON,DREW ST T/H,HAMILTON CT",2017-09-28,4743,101912467,Middle,85,1,0
74,15985,1223750010007,305000.0,0.0,29.7454,-95.36851,0.0448,77002,8400.09,2318.0,"CITY SCENE,JACKSON,DREW ST T/H,HAMILTON CT",2007-09-14,4743,101912467,Middle,85,1,0
75,15986,1223750010008,327238.0,0.0,29.74545,-95.36861,0.042,77002,8400.09,2418.0,"CITY SCENE,JACKSON,DREW ST T/H,HAMILTON CT",2005-03-23,4743,101912467,Middle,85,1,0
76,15979,1223750010001,397592.0,0.0,29.745540000000002,-95.36863000000001,0.0476,77002,8400.09,2318.0,"CITY SCENE,JACKSON,DREW ST T/H,HAMILTON CT",2013-06-05,4743,101912025,High,95,1,0
77,15980,1223750010002,345000.0,0.0,29.74563,-95.36856,0.0448,77002,8400.09,2280.0,"CITY SCENE,JACKSON,DREW ST T/H,HAMILTON CT",2016-03-14,4743,101912025,High,95,1,0
78,15981,1223750010003,354820.0,0.0,29.74565,-95.36847,0.0448,77002,8400.09,2318.0,"CITY SCENE,JACKSON,DREW ST T/H,HAMILTON CT",2015-12-09,4743,101912025,High,95,1,0
79,15982,1223750010004,345411.0,0.0,29.74558,-95.36836,0.0476,77002,8400.09,2416.0,"CITY SCENE,JACKSON,DREW ST T/H,HAMILTON CT",2016-06-08,4743,101912025,High,95,1,0
80,15983,1223750010005,325000.0,0.0,29.745490000000004,-95.36835,0.042,77002,8400.09,2318.0,"CITY SCENE,JACKSON,DREW ST T/H,HAMILTON CT",2015-06-05,4743,101912025,High,95,1,0
81,15984,1223750010006,312500.0,0.0,29.745409999999996,-95.36841,0.0448,77002,8400.09,2418.0,"CITY SCENE,JACKSON,DREW ST T/H,HAMILTON CT",2017-09-28,4743,101912025,High,95,1,0
82,15985,1223750010007,305000.0,0.0,29.7454,-95.36851,0.0448,77002,8400.09,2318.0,"CITY SCENE,JACKSON,DREW ST T/H,HAMILTON CT",2007-09-14,4743,101912025,High,95,1,0
83,15986,1223750010008,327238.0,0.0,29.74545,-95.36861,0.042,77002,8400.09,2418.0,"CITY SCENE,JACKSON,DREW ST T/H,HAMILTON CT",2005-03-23,4743,101912025,High,95,1,0
84,17887,1288440010001,391699.0,10.0,29.745309999999996,-95.36967,0.0449,77002,8400.13,2440.0,CRAWFORD MANOR & OTHERS,2008-05-16,4743,101912110,Elementary,75,1,0
85,17888,1288440010002,361340.0,9.999969557765661,29.745240000000003,-95.36975,0.0347,77002,8400.13,2080.0,CRAWFORD MANOR & OTHERS,2017-01-26,4743,101912110,Elementary,75,1,0
86,17889,1288440010003,412500.0,10.0,29.74516,-95.36978,0.035,77002,8400.13,2608.0,CRAWFORD MANOR & OTHERS,2009-07-21,4743,101912110,Elementary,75,1,0
87,17890,1288440010004,431895.0,5.677121947280722,29.74523,-95.36957,0.040999999999999995,77002,8400.13,2468.0,CRAWFORD MANOR & OTHERS,2016-06-09,4743,101912110,Elementary,75,1,0
88,17891,1288440010005,375980.0,10.0,29.74513,-95.36946,0.0346,77002,8400.13,2468.0,CRAWFORD MANOR & OTHERS,2014-05-12,4743,101912110,Elementary,75,1,0
89,17892,1288440010006,400000.0,16.754232340922357,29.74519,-95.36941999999999,0.0382,77002,8400.13,2468.0,CRAWFORD MANOR & OTHERS,2018-10-19,4743,101912110,Elementary,75,1,0
90,17887,1288440010001,391699.0,10.0,29.745309999999996,-95.36967,0.0449,77002,8400.13,2440.0,CRAWFORD MANOR & OTHERS,2008-05-16,4743,101912467,Middle,85,1,0
